nome,cpf,idade,data,endereco,estado
Sr. Pedro Miguel Camargo,435.621.907-43,10,2014-05-25,"viaduto de teixeira, 24
camponesa 2ª seção
08186802 da costa / go",tocantins
Benício Das Neves,204.176.593-34,8,2016-05-04,"largo heitor viana, 70
penha
57349-386 caldeira / pe",roraima
Sophie Costela,048.395.162-51,12,2012-02-29,"recanto da rosa, 73
tupi b
24708635 da cunha dos dourados / sc",santa catarina
Oliver Santos,059.734.682-83,14,2009-10-12,"alameda marina fonseca, 20
caetano furquim
14088-399 cavalcanti verde / sp",rio de janeiro
Emanuella Sousa,986.015.423-60,19,2005-01-21,Endereço inválido,rio de janeiro
Bianca Abreu,463.528.091-89,16,2008-03-27,"ladeira melo, 221
tupi a
73216-173 araújo da prata / pe",amazonas
Matheus Novaes,312.576.894-28,11,2013-07-07,"viaduto de pacheco, 15
vila nova cachoeirinha 2ª seção
95528-601 ramos do galho / rs",roraima
Maitê Campos,150.368.792-95,19,2005-07-07,"alameda santos, 285
comiteco
61486777 sales / rj",pernambuco
,596.142.087-67,14,2009-12-16,"rodovia de lopes, 37
vila santa rosa
67398321 da cruz / sp",pernambuco
Raul Farias,169.742.308-69,9,2015-05-30,"condomínio correia, 62
canaa
37994-532 pacheco / go",rio grande do norte
Ana Júlia Borges,782.310.549-79,16,2008-08-27,"vereda de cirino
suzana
91170410 novaes dos dourados / pb",rio grande do sul
Isaque Aparecida,039.176.582-59,10,2014-05-11,"esplanada caleb vargas, 60
dom silverio
14799-702 pereira do campo / sp",acre
Sophie Casa Grande,035.764.192-25,16,2008-02-20,"parque caldeira, 999
beija flor
74414-783 barbosa grande / pe",amapá
,708.231.596-12,16,2008-01-24,"feira cassiano, 367
gameleira
67513420 freitas / ba",Desconhecido
Manuella Viana,370.981.524-04,19,2004-11-04,"loteamento nogueira, 83
jardim felicidade
10316598 vargas da prata / ce",mato grosso do sul
André Cassiano,316.847.025-26,17,2007-05-25,"loteamento matteo moraes, 2
bernadete
05973-512 da cruz das flores / ac",bahia
Davi Jesus,431.502.876-26,9,2015-04-10,"travessa caroline nunes, 48
vila piratininga
42601808 camargo das pedras / pb",ceará
Juan Guerra,260.531.479-07,15,2008-11-06,"lagoa de peixoto, 4
são salvador
69308-317 macedo da praia / mg",ceará
Mirella Cirino,405.369.718-20,14,2010-06-23,"alameda de cassiano, 443
floresta
46755-341 novais / se",mato grosso
João Lucas Barbosa,126.573.084-90,13,2010-10-13,"recanto de casa grande, 33
nossa senhora do rosário
60487-330 cirino / mt",rio grande do sul
Bárbara Nunes,314.528.907-14,19,2004-10-11,"jardim de alves, 57
vila ouro minas
64739508 pacheco / mt",pernambuco
Ana Liz Garcia,548.723.109-50,12,2011-12-03,"largo azevedo, 36
mirante
93681042 sampaio de rios / es",rio de janeiro
João Rios,582.074.691-02,12,2012-04-12,"vila de da paz
santa cecilia
30172420 sá de sales / se",paraíba
,180.975.432-14,12,2012-08-24,"praça costela, 27
marilandia
67121-311 fernandes / pe",piauí
Ana Sophia Gomes,685.190.237-03,17,2006-10-08,"chácara luiz felipe vieira, 36
grajaú
48936-437 santos / pr",Desconhecido
Kaique Martins,295.314.876-00,8,2016-02-25,"vale josué sá, 20
cardoso
28558-998 dias / to",maranhão
Giovanna Da Rocha,319.024.657-25,5,2019-08-15,"praia de peixoto, 4
santa margarida
29439-231 rios do oeste / al",goiás
Dra. Raquel Aragão,762.539.180-95,17,,"parque montenegro, 21
belvedere
59931333 novaes / pb",são paulo
Diego Viana,975.462.180-20,13,2010-12-11,"morro costela
ribeiro de abreu
38029-224 da mata / pr",amapá
Marcela Andrade,756.814.209-49,18,2006-03-19,"morro cunha, 515
delta
59057-481 andrade das flores / ro",rio de janeiro
,367.419.085-01,5,2019-08-02,"lago de abreu, 58
camargos
59773290 brito / rj",paraíba
Luan Barbosa,781.036.492-87,8,2016-01-29,"passarela de farias, 66
lagoinha
28898530 moreira do galho / se",rondônia
Pedro Miguel Da Mata,245.710.963-99,7,2017-08-31,"rodovia da paz, 87
vila união
80773-501 da costa / pe",mato grosso do sul
Dr. Vicente Pimenta,851.930.427-32,11,2013-04-11,"jardim de machado, 43
marçola
34072196 rocha da prata / rs",paraná
Leandro Aragão,732.856.049-56,16,,"colônia de farias, 16
minaslandia
52940-181 correia alegre / ro",espírito santo
Emanuel Caldeira,625.091.843-42,7,2017-07-28,"recanto ana laura azevedo
concórdia
32703804 cunha / pe",distrito federal
Ravy Correia,641.920.738-03,17,2007-04-23,"viela aparecida, 85
vila ipiranga
78500-553 novais do amparo / ce",Desconhecido
João Caldeira,256.894.317-37,14,2009-12-29,"praia joão miguel vieira, 5
bernadete
85143342 novaes / ro",minas gerais
Dra. Júlia Sampaio,612.943.750-16,18,2006-04-27,"viela larissa martins, 30
vila são joão batista
26664728 araújo das pedras / sp",mato grosso
Bento Albuquerque,739.485.026-92,6,,"vereda souza, 1
vila engenho nogueira
86277-469 cassiano / pe",roraima
Rafaela Moura,482.517.096-01,14,2010-04-02,Endereço inválido,amazonas
Ísis Aparecida,351.692.480-24,19,2005-05-16,"praia ravy pinto
vila jardim alvorada
35935257 pereira da mata / al",são paulo
Alice Câmara,518.402.693-24,9,2015-06-02,"trecho ayla cardoso, 537
parque são pedro
23231-972 da paz da praia / df",roraima
Melina Siqueira,132.495.870-79,15,2009-07-09,"passarela lucas gabriel ribeiro, 191
santo andré
85883-960 aragão / rr",goiás
Bernardo Costela,902.675.314-43,18,2006-06-27,Endereço inválido,bahia
Emilly Vieira,089.651.342-42,18,2005-12-24,"conjunto nogueira, 68
vila madre gertrudes 1ª seção
62299-402 sousa / pe",piauí
Ágatha Vasconcelos,139.602.457-34,18,2006-05-29,"trecho de vieira, 42
santa efigênia
26460555 rocha / se",alagoas
Lucas Gabriel Cardoso,861.294.037-04,17,2007-07-24,Endereço inválido,alagoas
Benício Correia,358.604.192-60,8,2016-04-09,"lagoa julia cunha, 45
mirante
03048693 gomes / sp",tocantins
Yasmin Vieira,725.061.483-53,13,2011-03-25,"travessa barros, 51
serrano
81879-617 rios alegre / rj",pernambuco
Dante Barbosa,638.204.719-87,18,2006-04-21,"jardim de castro, 82
cdi jatoba
62218272 pinto / es",alagoas
Emanuel Almeida,178.540.639-66,17,2007-03-15,"residencial breno jesus, 94
cenaculo
11979-159 pires / ce",amazonas
Sra. Daniela Silva,754.209.816-02,16,2008-04-27,"distrito de viana, 677
vista do sol
14361739 moreira do oeste / sc",Desconhecido
Dr. Arthur Gabriel Ferreira,647.189.305-10,6,2018-09-01,"condomínio de brito, 85
são benedito
28627-421 macedo / sp",são paulo
Davi Lucca Fernandes,415.379.682-46,6,2018-01-23,"campo peixoto, 61
canadá
21865319 da cruz da praia / sc",bahia
Giovanna Costa,980.574.162-11,9,2015-02-25,Endereço inválido,Desconhecido
Brenda Lopes,197.630.485-75,12,2012-01-28,"viaduto valentina leão
tiradentes
98545476 da paz / rj",rio de janeiro
Agatha Peixoto,294.687.013-87,18,2006-05-04,"feira carlos eduardo da costa, 93
engenho nogueira
86382-856 almeida do campo / df",pernambuco
Isaque Machado,748.961.325-64,9,2015-06-20,"rua larissa rios, 81
vila independencia 2ª seção
50007468 macedo / ma",são paulo
Luiz Gustavo Mendonça,719.306.254-99,5,2019-01-18,"pátio marcelo lopes
barão homem de melo 2ª seção
88441-755 azevedo de goiás / ms",Desconhecido
Nicole Lopes,956.087.321-03,6,2017-12-10,"praia de cunha, 565
são cristóvão
07727487 cunha / al",são paulo
João Vitor Brito,405.796.182-85,12,,"morro lucas gabriel albuquerque, 30
vila vista alegre
72053460 sousa / mg",bahia
Alexandre Correia,648.937.520-65,9,2015-08-11,"via gomes, 2
pindorama
76205-282 melo de pimenta / pi",são paulo
Luiz Otávio Santos,490.278.316-96,13,2010-11-03,"colônia oliver cunha, 92
vila nova gameleira 1ª seção
85385945 moura / ma",alagoas
Ana Lívia Fogaça,072.638.514-07,13,2011-03-20,"distrito de ramos, 3
conjunto jardim filadélfia
21892329 sousa do amparo / rr",rio de janeiro
Maria Julia Aparecida,247.195.068-01,7,2016-09-22,Endereço inválido,pará
Isabela Azevedo,962.813.570-86,13,2011-06-28,"vereda da conceição, 487
mantiqueira
90394819 cunha das flores / ro",rio de janeiro
Isabella Das Neves,385.217.064-80,7,2016-11-11,Endereço inválido,minas gerais
Maria Vitória Nascimento,650.281.739-40,15,2009-01-01,"praça de alves, 17
conjunto jatoba
71394-306 gonçalves / pe",rio de janeiro
,487.365.192-19,10,2013-12-18,"condomínio de nunes, 265
caetano furquim
08372302 da mata da praia / pa",mato grosso
Yuri Mendonça,802.564.391-33,17,2006-10-10,"vale ana da rosa, 709
acaba mundo
14972265 porto do galho / rs",roraima
Caio Marques,104.782.695-01,7,2017-04-10,Endereço inválido,são paulo
Antonella Garcia,748.213.695-91,10,2014-03-28,"lagoa kaique aragão, 84
novo das industrias
71903-145 vasconcelos / pa",amazonas
Nicolas Cavalcante,230.498.516-51,10,2014-08-26,"praia renan fernandes, 89
tres marias
77966894 souza / ac",Desconhecido
Sr. Benicio Mendes,804.236.197-13,18,2005-09-12,"loteamento campos, 46
cruzeiro
22357379 borges / df",piauí
Dra. Antonella Martins,546.137.820-07,15,2009-01-19,"vereda ferreira, 24
funcionários
90832238 abreu de gomes / mg",pará
Daniel Silveira,803.716.925-12,7,2016-10-12,"via de oliveira, 45
itapoa
24188181 leão / ma",rio de janeiro
Luna Araújo,064.237.519-43,5,2019-06-02,"colônia nunes, 503
nova granada
28612185 leão de farias / ms",pará
Catarina Siqueira,962.145.703-34,15,2008-11-16,"colônia milena lima, 85
ipiranga
12914512 guerra / sc",rio grande do norte
Ana Cecília Lopes,072.631.498-69,9,2015-01-06,"estação de pastor, 72
zilah sposito
82949-800 aragão de guerra / rn",amapá
Ester Fonseca,195.376.824-55,19,2005-06-09,"quadra ester rios, 93
união
42084987 costa do oeste / es",mato grosso do sul
Emanuelly Almeida,290.874.613-13,7,2017-05-27,"ladeira lopes, 69
novo são lucas
42958029 da paz da prata / am",tocantins
Lorenzo Da Cunha,781.450.693-00,11,2013-06-27,"rodovia ana cecília mendonça, 93
tirol
93049193 cavalcante / ba",maranhão
Breno Marques,381.467.029-96,6,2018-08-03,"residencial de da mota, 85
zilah sposito
09261-512 sá / sp",Desconhecido
Liam Andrade,059.128.634-33,10,2014-01-16,"pátio alves, 9
são joão batista
64488685 montenegro da praia / ma",rio de janeiro
,486.201.359-70,9,2015-07-19,"feira de peixoto
vila ouro minas
35652436 duarte da mata / es",rio grande do norte
Dr. Lucas Gabriel Porto,219.086.735-59,6,2018-09-04,"estrada helena guerra, 513
pedreira padro lopes
45572381 câmara do amparo / mg",minas gerais
Sr. Alexandre Pinto,759.046.823-10,18,2006-05-30,"campo marques, 49
andiroba
68670-804 sousa das pedras / rr",ceará
Kaique Da Luz,438.205.961-51,15,,"residencial almeida, 6
vila rica
19923-703 mendes de goiás / df",rio grande do norte
Benjamin Da Mota,163.042.795-07,10,2013-10-08,"pátio alícia da mata, 7
piraja
92942803 barbosa / to",distrito federal
Lunna Pacheco,907.548.612-01,19,2004-09-26,"residencial ferreira, 69
glória
24527-575 gonçalves / mg",minas gerais
,374.895.610-00,17,2007-01-29,"colônia marina costa, 92
suzana
82030360 mendes das pedras / al",pernambuco
Bento Gomes,241.058.397-05,18,,"fazenda de da paz, 14
pindura saia
82548385 freitas / rj",rio grande do sul
Theo Silveira,435.890.617-66,15,2009-06-28,"praia cecília nunes, 89
são vicente
42338-455 monteiro das flores / mt",maranhão
Sr. Anthony Gabriel Nascimento,312.647.589-28,16,2008-04-27,"loteamento maria flor sampaio, 66
joão paulo ii
85937-462 vasconcelos de costa / rj",mato grosso
Alana Gomes,126.385.907-03,12,2012-07-20,"praia da cunha, 866
itatiaia
72691-706 cavalcanti da prata / rj",sergipe
Oliver Camargo,432.105.768-07,16,2007-09-12,"núcleo julia abreu, 9
aarão reis
12290030 andrade da serra / df",piauí
Dom Aragão,310.975.628-59,7,2017-03-23,"morro aparecida, 19
barão homem de melo 1ª seção
02896-070 aparecida / go",espírito santo
João Da Cruz,986.304.721-03,5,,"conjunto felipe cunha, 52
marçola
53662-849 pereira grande / ms",Desconhecido
Mariah Marques,439.870.612-78,6,2017-12-25,"lago rezende, 31
são marcos
55723454 andrade do galho / pi",Desconhecido
Maria Luísa Lima,856.230.194-98,8,2016-02-29,"estação joão lucas da luz
esplanada
01630-392 sales / ac",Desconhecido
Sophia Da Mata,378.621.549-91,15,2009-06-29,"conjunto de vieira, 26
mirante
08847397 macedo / rr",espírito santo
Maria Alice Moura,962.015.873-30,8,2016-03-16,"loteamento theodoro pastor, 99
parque são josé
94575140 freitas de aparecida / mg",maranhão
Ana Luiza Câmara,207.845.916-01,9,2015-08-28,"morro câmara, 791
novo são lucas
85350063 souza / ba",tocantins
Marcelo Sampaio,412.058.769-01,10,2014-08-09,"favela pinto, 8
vila união
66548982 melo de goiás / pi",Desconhecido
Luiz Henrique Lima,812.734.059-60,7,2017-06-06,"viaduto mendonça, 1
vila nova gameleira 3ª seção
61496-065 da luz / mt",piauí
Fernando Dias,256.308.914-05,17,2006-09-21,"viaduto de abreu, 34
atila de paiva
07882-622 novais / se",ceará
Srta. Cecilia Cavalcanti,473.965.281-19,6,2018-01-11,"viaduto de leão, 92
fernão dias
81516997 das neves / ce",alagoas
Clarice Rios,185.243.796-00,12,2011-12-12,"chácara cauã gonçalves, 938
vila madre gertrudes 2ª seção
88608691 macedo das pedras / ac",tocantins
José Miguel Silva,783.564.910-10,8,2016-08-14,"praia nicole sales, 69
boa união 1ª seção
34018499 vasconcelos das pedras / pr",santa catarina
Brayan Dias,982.650.174-30,18,2005-10-11,"aeroporto de das neves
céu azul
67174241 garcia do oeste / ms",pará
Emilly Borges,039.715.486-01,5,2019-01-02,"lagoa gomes, 84
pirineus
01732373 fogaça / df",piauí
Juliana Barros,849.351.760-75,6,,"viaduto sarah da cruz, 79
vila jardim alvorada
66634-991 sampaio / sc",maranhão
,832.546.791-64,9,2015-01-28,"viaduto de novais, 3
vila antena montanhês
21150632 nascimento / sc",Desconhecido
,812.075.369-03,7,2017-01-07,"rodovia emanuella porto, 79
ouro minas
32250-826 brito / ro",minas gerais
Dr. Gabriel Cardoso,268.471.305-71,5,2019-02-22,"viela de nogueira, 2
barreiro
46283-903 das neves / ac",rondônia
Bianca Barbosa,708.269.145-94,5,2019-04-05,"trevo maya pimenta, 23
minaslandia
21667827 monteiro / ro",goiás
Pietro Da Costa,013.567.248-17,14,2009-10-11,Endereço inválido,são paulo
Eduarda Monteiro,841.950.762-85,10,2014-06-13,"lagoa de peixoto, 93
nazare
63384-022 siqueira do amparo / rn",roraima
Clarice Da Cunha,381.975.062-21,19,2005-01-03,"residencial maria júlia silva, 31
antonio ribeiro de abreu 1ª seção
32827235 câmara / sc",sergipe
João Gabriel Da Mota,761.820.549-30,11,2013-04-24,"pátio olivia novais, 8
dom bosco
74822-311 nunes / al",rio grande do sul
Bruna Pereira,295.014.683-05,19,2005-05-26,"passarela stella silva, 20
vila boa vista
03704-535 leão / ac",roraima
Marcos Vinicius Melo,687.193.425-19,10,2014-09-03,"travessa peixoto, 15
boa viagem
32192865 lima / am",mato grosso
Emanuelly Nascimento,270.984.631-40,6,2018-06-27,"feira sales, 96
mantiqueira
21877292 martins do amparo / am",pará
Liz Silva,841.253.096-98,15,2009-07-24,"morro gomes, 90
são benedito
27256-233 vargas de minas / sc",piauí
Antônio Marques,130.849.752-05,6,2018-01-31,"núcleo monteiro, 6
embaúbas
98500007 nascimento / se",minas gerais
,325.106.794-06,11,2012-11-27,"lagoa brito
camponesa 2ª seção
09304-605 moraes do norte / go",tocantins
Valentina Nogueira,986.342.751-91,5,2019-02-27,"vale de fogaça, 33
fazendinha
57683741 andrade / rs",Desconhecido
Srta. Emanuelly Ferreira,350.849.261-33,9,2015-06-26,"estação vitor correia, 13
pongelupe
23076-625 pacheco / sc",amapá
Pietro Brito,031.892.756-02,9,,"esplanada sales, 57
castelo
98809-382 da cunha / es",tocantins
Luna Cunha,598.210.467-11,6,2017-11-24,"residencial arthur miguel martins, 40
comiteco
99461-217 moura / to",amapá
Pietra Rezende,716.492.503-80,9,2014-11-24,"fazenda novaes, 69
santa tereza
47385-517 macedo de novaes / pe",mato grosso
Bianca Rios,327.058.961-12,7,2017-04-26,Endereço inválido,Desconhecido
Maria Flor Correia,532.049.176-06,13,2011-01-10,"feira de correia
aparecida
31994210 borges da serra / rr",paraná
Sra. Heloísa Fernandes,753.891.064-66,7,2017-08-14,"parque rhavi moraes
vila sesc
49359-750 mendonça verde / rn",goiás
Paulo Farias,243.160.857-35,8,2015-09-09,"favela fogaça, 1
estrela do oriente
22554-186 da cruz / rj",ceará
Sr. Yago Leão,523.490.681-70,9,2015-05-07,"esplanada fernandes, 965
túnel de ibirité
03131995 ramos / go",espírito santo
Francisco Gomes,492.076.183-03,12,2012-01-08,Endereço inválido,pernambuco
Júlia Barros,324.518.790-41,14,2010-01-17,"aeroporto laís fogaça, 85
corumbiara
68118-730 da mota do oeste / ce",Desconhecido
Manuella Montenegro,764.510.392-25,7,2017-01-09,"lagoa das neves
vila calafate
79020-170 aragão verde / ac",pará
Bianca Ramos,908.176.324-50,11,2013-03-15,"colônia de da cruz, 88
taquaril
71965883 sá da prata / al",rondônia
Caio Sampaio,306.498.521-33,17,2007-02-01,"ladeira moreira, 5
vila ipiranga
43472-189 siqueira / go",acre
Theodoro Rios,521.706.943-07,16,,"vale de barros, 54
tupi a
52504496 santos de lima / mg",paraná
Dr. José Miguel Araújo,912.530.874-23,14,2009-11-05,"lagoa de sampaio, 60
ouro preto
47567-280 da rosa do oeste / mt",distrito federal
,627.901.385-59,18,2005-12-31,"rodovia gomes, 60
santa monica
78162-907 camargo / df",pernambuco
Henry Gabriel Pacheco,825.139.740-50,5,,"condomínio de peixoto
vila piratininga
76463-397 vargas das flores / ro",Desconhecido
Maitê Da Rosa,603.725.184-35,7,2016-11-05,"via de ramos, 82
fazendinha
86233-774 cavalcanti / pa",alagoas
Nicole Monteiro,951.863.720-21,17,2007-05-06,"travessa daniel porto, 64
etelvina carneiro
33815510 camargo do campo / ac",piauí
Sr. Breno Vasconcelos,316.857.294-28,7,2017-07-15,"loteamento de mendonça
vila real 1ª seção
56524-394 aparecida / sp",mato grosso do sul
Ryan Ferreira,829.567.013-12,15,2009-07-21,"recanto thales leão, 52
vila bandeirantes
71720407 abreu da serra / pr",são paulo
José Albuquerque,067.325.149-70,9,2015-04-08,"estação rezende, 4
vila santa monica 2ª seção
07294179 peixoto grande / ap",paraná
Mariana Correia,194.506.728-49,16,2008-03-18,"pátio de fonseca
novo glória
31518736 nascimento do campo / pr",amazonas
Thiago Cavalcanti,694.871.035-20,9,2015-06-10,"estrada de cavalcante, 2
cardoso
36160-302 camargo / ma",piauí
Bárbara Vargas,308.461.925-51,16,2008-02-03,"praia casa grande, 63
jardim alvorada
40872733 martins / sc",rio grande do sul
Srta. Maria Cecília Nascimento,470.923.861-87,17,2006-10-11,"parque alice moraes
vila mangueiras
53053-153 pereira alegre / rn",tocantins
Kaique Novais,837.105.926-40,6,2018-04-24,"rodovia fogaça, 99
atila de paiva
85358-058 sales alegre / go",Desconhecido
Caroline Martins,371.506.824-80,9,2014-11-26,"aeroporto nunes, 52
estrela do oriente
88311920 oliveira / ro",rio de janeiro
Sr. Rhavi Da Conceição,461.250.398-89,8,2016-01-18,"loteamento andrade, 24
suzana
64327343 ribeiro grande / to",sergipe
Fernando Rodrigues,304.275.896-65,5,2019-06-26,"conjunto de moraes, 85
paquetá
07768336 brito / sp",acre
Sabrina Rocha,839.756.021-12,12,,"área samuel machado, 38
nazare
15955-794 correia de fonseca / pa",pernambuco
Enzo Gabriel Da Cruz,460.923.758-00,7,2017-08-28,Endereço inválido,rio grande do sul
Asafe Cunha,836.409.721-04,7,2016-10-10,Endereço inválido,bahia
Yuri Câmara,534.182.967-00,15,2009-05-28,"área silva, 48
fazendinha
84547-463 correia do campo / pb",amazonas
,072.143.659-52,14,2010-06-12,"favela maria flor caldeira, 142
vitoria da conquista
88674101 moreira de moreira / es",acre
Bianca Da Cunha,614.085.379-66,16,2008-07-18,"vereda de almeida, 68
vila da ária
23272-874 vasconcelos / rn",amapá
Pedro Miguel Albuquerque,975.326.801-77,15,2009-07-08,"estação moraes, 86
vila nova gameleira 1ª seção
73723-209 araújo de silva / se",amazonas
Sr. Murilo Novaes,086.271.453-26,15,2009-07-25,"sítio silveira, 617
vila mantiqueira
46075-844 cunha / df",pará
Diego Garcia,507.621.384-08,6,2017-11-29,Endereço inválido,sergipe
Davi Lucas Castro,056.831.724-62,10,2014-01-19,"parque davi miguel barbosa, 3
salgado filho
17639-867 lopes / ac",são paulo
Matheus Dias,179.624.038-96,17,2006-12-23,"avenida mirella nogueira, 55
são josé
80095-483 das neves / rn",pernambuco
Eloah Silveira,109.365.742-16,12,2012-01-20,"pátio de sá
maria tereza
08820588 macedo de barbosa / rj",paraíba
Sophia Santos,146.570.398-57,13,2011-08-26,"jardim anna liz sampaio, 96
taquaril
66044222 rodrigues da serra / df",paraná
Sr. Henry Gabriel Da Mata,087.214.965-01,6,2017-11-10,Endereço inválido,Desconhecido
Sra. Joana Teixeira,375.908.264-56,19,2005-08-05,"lago melo, 65
são jorge 2ª seção
40773576 da mata de montenegro / pe",piauí
Vicente Garcia,026.947.531-16,6,,"fazenda ryan siqueira, 3
serrano
74864-518 cardoso / al",distrito federal
Dr. Samuel Porto,978.506.413-10,10,2014-03-29,"morro de sousa, 93
marçola
21898613 correia do sul / al",paraíba
Clara Da Mata,326.580.914-51,7,2017-05-20,"residencial das neves, 83
graça
54773786 porto da mata / mg",piauí
Ana Júlia Peixoto,850.493.267-29,16,2007-12-25,"aeroporto vasconcelos, 33
aguas claras
80843-017 oliveira das flores / df",ceará
Lunna Mendes,701.458.296-85,11,2013-08-19,"estação de viana, 607
ápia
87546193 silveira da prata / rr",amazonas
Pietra Almeida,182.435.967-55,16,2008-06-04,"rua de casa grande, 8
vila santa rosa
58799-298 da paz / sp",alagoas
Sr. Noah Vasconcelos,210.937.485-32,7,,"vale abreu, 6
santa rosa
39799161 sousa da prata / go",amazonas
Anna Liz Pires,195.603.247-99,15,2009-01-04,"distrito de cavalcante, 11
zilah sposito
53901253 cavalcanti / rs",santa catarina
Otto Pimenta,715.386.429-64,14,2010-03-25,"sítio larissa araújo, 78
santa rita
15606608 rios de goiás / se",roraima
Carolina Duarte,218.953.047-41,7,2017-04-30,"aeroporto sá, 8
lorena
09057-116 vargas / al",piauí
,328.695.701-12,9,2015-03-16,"área porto, 37
trevo
04773-640 cavalcante do sul / pa",roraima
Hellena Nogueira,712.956.403-25,14,2010-02-27,"pátio leão, 1
belvedere
95142445 da cunha do amparo / ms",mato grosso
Manuella Campos,204.819.736-13,9,2015-02-04,"praia de borges, 880
boa união 2ª seção
92542-944 sousa / rs",paraná
Ana Beatriz Marques,071.395.248-23,14,2010-04-10,"pátio pinto, 18
manacas
55118-352 barros dos dourados / mg",mato grosso
Augusto Ferreira,851.376.409-48,19,2005-03-28,"loteamento sampaio, 15
capitão eduardo
92345334 teixeira do galho / to",mato grosso do sul
Luiz Otávio Dias,182.749.650-94,7,2017-07-29,Endereço inválido,Desconhecido
Théo Oliveira,816.495.372-55,6,2017-12-06,"residencial rodrigues, 328
santa rosa
88414-551 souza / ro",rio grande do norte
Dr. Rael Cavalcante,048.572.396-47,19,2005-01-17,"esplanada maria laura da rosa
coração de jesus
15277170 correia / al",ceará
Rhavi Aragão,897.612.304-22,12,2012-04-05,"colônia de cavalcante, 53
vila fumec
11418-185 oliveira / al",rio de janeiro
Eloah Rezende,120.538.649-15,13,2011-06-12,Endereço inválido,rio grande do norte
Esther Borges,745.019.386-84,7,2017-02-19,"passarela viana, 5
araguaia
98001-127 guerra verde / pb",piauí
Anthony Gabriel Duarte,489.361.572-64,11,,"ladeira heloísa rezende, 7
guaratã
23161-177 da cunha / al",rio grande do sul
Camila Lima,462.857.130-90,11,2012-12-23,"colônia igor leão, 2
vila mangueiras
28320954 caldeira / pa",mato grosso
Otávio Almeida,352.409.678-65,17,2007-02-20,"rua de andrade, 43
são cristóvão
93878755 alves da mata / al",rio de janeiro
Raul Fonseca,476.983.512-46,12,2011-10-31,"favela melissa sampaio, 668
jardim américa
67301-120 macedo / pe",rondônia
Sr. Breno Da Cruz,758.192.043-79,17,2007-03-26,Endereço inválido,pará
Dra. Ana Júlia Farias,219.074.635-34,13,2011-08-24,"viaduto caldeira, 9
jardim alvorada
86270-555 vasconcelos / ba",paraná
Noah Aragão,470.361.859-10,6,2017-10-14,"núcleo maria vitória mendes, 19
luxemburgo
53536-065 vargas do amparo / sp",paraíba
Gustavo Borges,640.578.913-66,5,2019-05-20,"trecho de lopes, 59
união
85921619 caldeira grande / pb",são paulo
Sr. Thiago Ramos,840.619.735-84,9,2015-08-22,"residencial ágatha pacheco, 16
vila independencia 1ª seção
31406657 sampaio / ms",paraíba
Kaique Casa Grande,041.963.785-01,8,2015-10-20,"residencial da cunha
alto dos pinheiros
91451-490 pacheco / ba",roraima
Maria Helena Freitas,812.379.065-12,5,2019-05-26,"núcleo pimenta, 79
lajedo
53720226 gonçalves do galho / sp",distrito federal
Danilo Lopes,579.104.863-75,5,2018-11-24,"núcleo de costa, 67
barão homem de melo 3ª seção
66072807 câmara / ms",distrito federal
Giovanna Rios,392.015.468-15,6,2017-11-09,"travessa teixeira, 2
conjunto serra verde
33690753 barbosa / ms",pará
Sr. Mathias Freitas,941.837.206-13,5,2019-07-14,"setor de fonseca, 4
santo agostinho
36557-624 gonçalves de cavalcanti / pe",distrito federal
Gustavo Henrique Gomes,423.689.107-78,7,2017-04-15,"praia de lima, 6
santa rita de cássia
01834-448 pinto / mg",minas gerais
Marina Carvalho,571.043.682-80,5,2018-12-12,"viaduto brenda correia, 77
flavio de oliveira
15726-323 teixeira de melo / sc",pará
José Pedro Ferreira,259.378.140-88,9,2014-11-01,"trecho de sales, 300
nossa senhora da conceição
26943343 novaes verde / mt",espírito santo
Sra. Ana Júlia Costela,205.763.981-95,13,2010-10-28,"praça da costa
estoril
67410854 costa / pa",goiás
Sr. Emanuel Castro,485.129.306-24,12,2012-03-23,"esplanada vasconcelos, 2
mirante
14152-482 da conceição de goiás / rn",paraíba
Joana Pires,164.073.285-35,18,2005-10-05,"quadra de rodrigues, 92
coqueiros
58545460 ramos de goiás / pr",pará
Augusto Moura,640.178.953-01,13,2010-12-18,"campo fonseca, 91
ouro minas
59125515 moura / rr",mato grosso do sul
Sr. Antony Albuquerque,501.672.984-02,9,2015-04-20,"quadra da luz
caetano furquim
26854443 rezende / mg",paraná
Hadassa Rodrigues,245.073.689-10,15,2009-01-04,Endereço inválido,rio grande do sul
Davi Rezende,196.543.087-20,8,2016-01-27,"fazenda andrade, 38
nova gameleira
59850024 lopes / sc",rondônia
Samuel Moura,981.362.045-51,5,2019-05-17,"rodovia cunha, 53
mantiqueira
27547950 pimenta do oeste / am",rio grande do norte
Apollo Cardoso,396.427.185-37,18,2006-08-07,"recanto melina leão, 58
vila maria
32636627 caldeira de sousa / ap",maranhão
Bernardo Guerra,679.235.410-43,5,2018-10-16,"morro bernardo das neves, 732
virgínia
92068-270 borges de cavalcanti / ro",amazonas
Alícia Da Conceição,501.837.926-02,17,2007-08-27,"chácara de guerra, 6
barão homem de melo 3ª seção
69793-184 borges de ribeiro / ce",rondônia
Helena Porto,362.849.150-98,6,2017-12-28,Endereço inválido,mato grosso do sul
Maria Vitória Da Mata,289.604.735-29,10,2014-04-29,Endereço inválido,sergipe
