nome,cpf,idade,data,endereco,bairro,estado
Pedro Miguel Cavalcanti,740.***.*** - 29,0.0,2017-04-29,"aeroporto sá, 62
acaba mundo
65294-611 montenegro / pe",acaba mundo,PE
Antônio Mendonça,702.***.*** - 61,0.0,,"aeroporto de castro, 36
canadá
10895-423 vargas do norte / pa",canadá,PA
Ana Laura Barbosa,514.***.*** - 10,0.0,,"setor lucas gabriel jesus, 90
mantiqueira
77338360 martins / ba",mantiqueira,BA
Milena Nascimento,079.***.*** - 03,0.0,2007-08-21,"rua de costa, 82
belmonte
70676-996 albuquerque paulista / rs",belmonte,RS
Kevin Barros,374.***.*** - 47,0.0,2006-03-01,"avenida de borges, 55
carmo
53809-360 da luz / al",carmo,AL
Rael Pires,986.***.*** - 49,-1.0,2011-11-19,"largo garcia
granja de freitas
57815-911 pinto / ro",granja de freitas,RO
Daniela Garcia,765.***.*** - 20,0.0,2005-06-11,"vila luigi da cunha, 63
aparecida
73883085 gomes da serra / pr",aparecida,PR
Luigi Caldeira,970.***.*** - 20,0.0,2007-03-10,"via sousa
santa sofia
70599052 monteiro / pi",santa sofia,PI
Thomas Moura,784.***.*** - 48,0.0,2004-12-06,Desconhecido,vila são dimas,MG
Clarice Cassiano,137.***.*** - 93,-1.0,2016-11-28,"quadra de andrade, 340
barroca
86683400 alves / ac",barroca,AC
Maya Vargas,062.***.*** - 20,0.0,2009-05-12,Endereço inválido,Desconhecido,Desconhecido
Dante Rocha,827.***.*** - 50,0.0,2010-01-24,Endereço inválido,Desconhecido,Desconhecido
Sra. Letícia Gomes,257.***.*** - 88,0.0,2006-01-22,"vereda bruna vargas, 99
santa isabel
34724-620 rodrigues / pa",santa isabel,PA
Léo Guerra,610.***.*** - 30,0.0,2014-03-26,"via de caldeira, 56
novo aarão reis
46963542 silveira / ac",novo aarão reis,AC
Renan Siqueira,731.***.*** - 03,0.0,2014-01-13,"setor aparecida, 8
vila engenho nogueira
76391-415 da luz / pb",vila engenho nogueira,PB
Srta. Amanda Rezende,857.***.*** - 35,0.0,2010-08-31,"lagoa laís teixeira, 95
copacabana
47366183 barros do campo / rj",copacabana,RJ
Bento Abreu,958.***.*** - 60,0.0,2014-02-15,"via silveira
lindéia
41706221 da cunha / pr",lindéia,PR
Dr. Augusto Machado,461.***.*** - 17,0.0,2007-06-25,"alameda garcia, 49
araguaia
28726287 caldeira / ba",araguaia,BA
Sr. Pedro Miguel Camargo,435.***.*** - 43,0.0,2014-05-25,"viaduto de teixeira, 24
camponesa 2ª seção
08186802 da costa / go",camponesa 2ª seção,GO
Benício Das Neves,204.***.*** - 34,0.0,2016-05-04,"largo heitor viana, 70
penha
57349-386 caldeira / pe",penha,PE
Sophie Costela,048.***.*** - 51,0.0,2012-02-29,"recanto da rosa, 73
tupi b
24708635 da cunha dos dourados / sc",tupi b,SC
Oliver Santos,059.***.*** - 83,-1.0,2009-10-12,Desconhecido,caetano furquim,SP
Emanuella Sousa,986.***.*** - 60,0.0,2005-01-21,Endereço inválido,Desconhecido,Desconhecido
Bianca Abreu,463.***.*** - 89,0.0,2008-03-27,"ladeira melo, 221
tupi a
73216-173 araújo da prata / pe",tupi a,PE
Matheus Novaes,312.***.*** - 28,0.0,2013-07-07,Desconhecido,vila nova cachoeirinha 2ª seção,RS
Maitê Campos,150.***.*** - 95,0.0,2005-07-07,"alameda santos, 285
comiteco
61486777 sales / rj",comiteco,RJ
,596.***.*** - 67,-1.0,2009-12-16,"rodovia de lopes, 37
vila santa rosa
67398321 da cruz / sp",vila santa rosa,SP
Raul Farias,169.***.*** - 69,0.0,2015-05-30,"condomínio correia, 62
canaa
37994-532 pacheco / go",canaa,GO
Ana Júlia Borges,782.***.*** - 79,0.0,2008-08-27,"vereda de cirino
suzana
91170410 novaes dos dourados / pb",suzana,PB
Isaque Aparecida,039.***.*** - 59,0.0,2014-05-11,Desconhecido,dom silverio,SP
Sophie Casa Grande,035.***.*** - 25,0.0,2008-02-20,"parque caldeira, 999
beija flor
74414-783 barbosa grande / pe",beija flor,PE
,708.***.*** - 12,0.0,2008-01-24,"feira cassiano, 367
gameleira
67513420 freitas / ba",gameleira,BA
Manuella Viana,370.***.*** - 04,0.0,2004-11-04,Desconhecido,jardim felicidade,CE
André Cassiano,316.***.*** - 26,0.0,2007-05-25,Desconhecido,bernadete,AC
Davi Jesus,431.***.*** - 26,0.0,2015-04-10,Desconhecido,vila piratininga,PB
Juan Guerra,260.***.*** - 07,0.0,2008-11-06,"lagoa de peixoto, 4
são salvador
69308-317 macedo da praia / mg",são salvador,MG
Mirella Cirino,405.***.*** - 20,0.0,2010-06-23,"alameda de cassiano, 443
floresta
46755-341 novais / se",floresta,SE
João Lucas Barbosa,126.***.*** - 90,-1.0,2010-10-13,Desconhecido,nossa senhora do rosário,MT
Bárbara Nunes,314.***.*** - 14,-1.0,2004-10-11,"jardim de alves, 57
vila ouro minas
64739508 pacheco / mt",vila ouro minas,MT
Ana Liz Garcia,548.***.*** - 50,0.0,2011-12-03,"largo azevedo, 36
mirante
93681042 sampaio de rios / es",mirante,ES
João Rios,582.***.*** - 02,0.0,2012-04-12,"vila de da paz
santa cecilia
30172420 sá de sales / se",santa cecilia,SE
,180.***.*** - 14,0.0,2012-08-24,"praça costela, 27
marilandia
67121-311 fernandes / pe",marilandia,PE
Ana Sophia Gomes,685.***.*** - 03,-1.0,2006-10-08,"chácara luiz felipe vieira, 36
grajaú
48936-437 santos / pr",grajaú,PR
Kaique Martins,295.***.*** - 00,0.0,2016-02-25,"vale josué sá, 20
cardoso
28558-998 dias / to",cardoso,TO
Giovanna Da Rocha,319.***.*** - 25,0.0,2019-08-15,"praia de peixoto, 4
santa margarida
29439-231 rios do oeste / al",santa margarida,AL
Dra. Raquel Aragão,762.***.*** - 95,0.0,,"parque montenegro, 21
belvedere
59931333 novaes / pb",belvedere,PB
Diego Viana,975.***.*** - 20,-1.0,2010-12-11,"morro costela
ribeiro de abreu
38029-224 da mata / pr",ribeiro de abreu,PR
Marcela Andrade,756.***.*** - 49,0.0,2006-03-19,"morro cunha, 515
delta
59057-481 andrade das flores / ro",delta,RO
,367.***.*** - 01,0.0,2019-08-02,"lago de abreu, 58
camargos
59773290 brito / rj",camargos,RJ
Luan Barbosa,781.***.*** - 87,0.0,2016-01-29,"passarela de farias, 66
lagoinha
28898530 moreira do galho / se",lagoinha,SE
Pedro Miguel Da Mata,245.***.*** - 99,0.0,2017-08-31,"rodovia da paz, 87
vila união
80773-501 da costa / pe",vila união,PE
Dr. Vicente Pimenta,851.***.*** - 32,0.0,2013-04-11,"jardim de machado, 43
marçola
34072196 rocha da prata / rs",marçola,RS
Leandro Aragão,732.***.*** - 56,0.0,,"colônia de farias, 16
minaslandia
52940-181 correia alegre / ro",minaslandia,RO
Emanuel Caldeira,625.***.*** - 42,0.0,2017-07-28,"recanto ana laura azevedo
concórdia
32703804 cunha / pe",concórdia,PE
Ravy Correia,641.***.*** - 03,0.0,2007-04-23,"viela aparecida, 85
vila ipiranga
78500-553 novais do amparo / ce",vila ipiranga,CE
João Caldeira,256.***.*** - 37,-1.0,2009-12-29,"praia joão miguel vieira, 5
bernadete
85143342 novaes / ro",bernadete,RO
Dra. Júlia Sampaio,612.***.*** - 16,0.0,2006-04-27,Desconhecido,vila são joão batista,SP
Bento Albuquerque,739.***.*** - 92,0.0,,"vereda souza, 1
vila engenho nogueira
86277-469 cassiano / pe",vila engenho nogueira,PE
Rafaela Moura,482.***.*** - 01,0.0,2010-04-02,Endereço inválido,Desconhecido,Desconhecido
Ísis Aparecida,351.***.*** - 24,0.0,2005-05-16,"praia ravy pinto
vila jardim alvorada
35935257 pereira da mata / al",vila jardim alvorada,AL
Alice Câmara,518.***.*** - 24,0.0,2015-06-02,Desconhecido,parque são pedro,DF
Melina Siqueira,132.***.*** - 79,0.0,2009-07-09,"passarela lucas gabriel ribeiro, 191
santo andré
85883-960 aragão / rr",santo andré,RR
Bernardo Costela,902.***.*** - 43,0.0,2006-06-27,Endereço inválido,Desconhecido,Desconhecido
Emilly Vieira,089.***.*** - 42,-1.0,2005-12-24,Desconhecido,vila madre gertrudes 1ª seção,PE
Ágatha Vasconcelos,139.***.*** - 34,0.0,2006-05-29,"trecho de vieira, 42
santa efigênia
26460555 rocha / se",santa efigênia,SE
Lucas Gabriel Cardoso,861.***.*** - 04,0.0,2007-07-24,Endereço inválido,Desconhecido,Desconhecido
Benício Correia,358.***.*** - 60,0.0,2016-04-09,"lagoa julia cunha, 45
mirante
03048693 gomes / sp",mirante,SP
Yasmin Vieira,725.***.*** - 53,0.0,2011-03-25,"travessa barros, 51
serrano
81879-617 rios alegre / rj",serrano,RJ
Dante Barbosa,638.***.*** - 87,0.0,2006-04-21,"jardim de castro, 82
cdi jatoba
62218272 pinto / es",cdi jatoba,ES
Emanuel Almeida,178.***.*** - 66,0.0,2007-03-15,"residencial breno jesus, 94
cenaculo
11979-159 pires / ce",cenaculo,CE
Sra. Daniela Silva,754.***.*** - 02,0.0,2008-04-27,"distrito de viana, 677
vista do sol
14361739 moreira do oeste / sc",vista do sol,SC
Dr. Arthur Gabriel Ferreira,647.***.*** - 10,0.0,2018-09-01,"condomínio de brito, 85
são benedito
28627-421 macedo / sp",são benedito,SP
Davi Lucca Fernandes,415.***.*** - 46,0.0,2018-01-23,"campo peixoto, 61
canadá
21865319 da cruz da praia / sc",canadá,SC
Giovanna Costa,980.***.*** - 11,0.0,2015-02-25,Endereço inválido,Desconhecido,Desconhecido
Brenda Lopes,197.***.*** - 75,0.0,2012-01-28,"viaduto valentina leão
tiradentes
98545476 da paz / rj",tiradentes,RJ
Agatha Peixoto,294.***.*** - 87,0.0,2006-05-04,Desconhecido,engenho nogueira,DF
Isaque Machado,748.***.*** - 64,0.0,2015-06-20,"rua larissa rios, 81
vila independencia 2ª seção
50007468 macedo / ma",vila independencia 2ª seção,MA
Luiz Gustavo Mendonça,719.***.*** - 99,0.0,2019-01-18,Desconhecido,barão homem de melo 2ª seção,MS
Nicole Lopes,956.***.*** - 03,-1.0,2017-12-10,"praia de cunha, 565
são cristóvão
07727487 cunha / al",são cristóvão,AL
João Vitor Brito,405.***.*** - 85,0.0,,Desconhecido,vila vista alegre,MG
Alexandre Correia,648.***.*** - 65,0.0,2015-08-11,"via gomes, 2
pindorama
76205-282 melo de pimenta / pi",pindorama,PI
Luiz Otávio Santos,490.***.*** - 96,0.0,2010-11-03,Desconhecido,vila nova gameleira 1ª seção,MA
Ana Lívia Fogaça,072.***.*** - 07,0.0,2011-03-20,Desconhecido,conjunto jardim filadélfia,RR
Maria Julia Aparecida,247.***.*** - 01,-1.0,2016-09-22,Endereço inválido,Desconhecido,Desconhecido
Isabela Azevedo,962.***.*** - 86,0.0,2011-06-28,"vereda da conceição, 487
mantiqueira
90394819 cunha das flores / ro",mantiqueira,RO
Isabella Das Neves,385.***.*** - 80,-1.0,2016-11-11,Endereço inválido,Desconhecido,Desconhecido
Maria Vitória Nascimento,650.***.*** - 40,0.0,2009-01-01,"praça de alves, 17
conjunto jatoba
71394-306 gonçalves / pe",conjunto jatoba,PE
,487.***.*** - 19,-1.0,2013-12-18,Desconhecido,caetano furquim,PA
Yuri Mendonça,802.***.*** - 33,-1.0,2006-10-10,"vale ana da rosa, 709
acaba mundo
14972265 porto do galho / rs",acaba mundo,RS
Caio Marques,104.***.*** - 01,0.0,2017-04-10,Endereço inválido,Desconhecido,Desconhecido
Antonella Garcia,748.***.*** - 91,0.0,2014-03-28,"lagoa kaique aragão, 84
novo das industrias
71903-145 vasconcelos / pa",novo das industrias,PA
Nicolas Cavalcante,230.***.*** - 51,0.0,2014-08-26,"praia renan fernandes, 89
tres marias
77966894 souza / ac",tres marias,AC
Sr. Benicio Mendes,804.***.*** - 13,-1.0,2005-09-12,"loteamento campos, 46
cruzeiro
22357379 borges / df",cruzeiro,DF
Dra. Antonella Martins,546.***.*** - 07,0.0,2009-01-19,"vereda ferreira, 24
funcionários
90832238 abreu de gomes / mg",funcionários,MG
Daniel Silveira,803.***.*** - 12,-1.0,2016-10-12,"via de oliveira, 45
itapoa
24188181 leão / ma",itapoa,MA
Luna Araújo,064.***.*** - 43,0.0,2019-06-02,"colônia nunes, 503
nova granada
28612185 leão de farias / ms",nova granada,MS
Catarina Siqueira,962.***.*** - 34,-1.0,2008-11-16,"colônia milena lima, 85
ipiranga
12914512 guerra / sc",ipiranga,SC
Ana Cecília Lopes,072.***.*** - 69,0.0,2015-01-06,"estação de pastor, 72
zilah sposito
82949-800 aragão de guerra / rn",zilah sposito,RN
Ester Fonseca,195.***.*** - 55,0.0,2005-06-09,"quadra ester rios, 93
união
42084987 costa do oeste / es",união,ES
Emanuelly Almeida,290.***.*** - 13,0.0,2017-05-27,"ladeira lopes, 69
novo são lucas
42958029 da paz da prata / am",novo são lucas,AM
Lorenzo Da Cunha,781.***.*** - 00,0.0,2013-06-27,"rodovia ana cecília mendonça, 93
tirol
93049193 cavalcante / ba",tirol,BA
Breno Marques,381.***.*** - 96,0.0,2018-08-03,"residencial de da mota, 85
zilah sposito
09261-512 sá / sp",zilah sposito,SP
Liam Andrade,059.***.*** - 33,0.0,2014-01-16,"pátio alves, 9
são joão batista
64488685 montenegro da praia / ma",são joão batista,MA
,486.***.*** - 70,0.0,2015-07-19,"feira de peixoto
vila ouro minas
35652436 duarte da mata / es",vila ouro minas,ES
Dr. Lucas Gabriel Porto,219.***.*** - 59,0.0,2018-09-04,Desconhecido,pedreira padro lopes,MG
Sr. Alexandre Pinto,759.***.*** - 10,0.0,2006-05-30,"campo marques, 49
andiroba
68670-804 sousa das pedras / rr",andiroba,RR
Kaique Da Luz,438.***.*** - 51,0.0,,"residencial almeida, 6
vila rica
19923-703 mendes de goiás / df",vila rica,DF
Benjamin Da Mota,163.***.*** - 07,-1.0,2013-10-08,"pátio alícia da mata, 7
piraja
92942803 barbosa / to",piraja,TO
Lunna Pacheco,907.***.*** - 01,-1.0,2004-09-26,"residencial ferreira, 69
glória
24527-575 gonçalves / mg",glória,MG
,374.***.*** - 00,0.0,2007-01-29,"colônia marina costa, 92
suzana
82030360 mendes das pedras / al",suzana,AL
Bento Gomes,241.***.*** - 05,0.0,,"fazenda de da paz, 14
pindura saia
82548385 freitas / rj",pindura saia,RJ
Theo Silveira,435.***.*** - 66,0.0,2009-06-28,"praia cecília nunes, 89
são vicente
42338-455 monteiro das flores / mt",são vicente,MT
Sr. Anthony Gabriel Nascimento,312.***.*** - 28,0.0,2008-04-27,Desconhecido,joão paulo ii,RJ
Alana Gomes,126.***.*** - 03,0.0,2012-07-20,"praia da cunha, 866
itatiaia
72691-706 cavalcanti da prata / rj",itatiaia,RJ
Oliver Camargo,432.***.*** - 07,-1.0,2007-09-12,"núcleo julia abreu, 9
aarão reis
12290030 andrade da serra / df",aarão reis,DF
Dom Aragão,310.***.*** - 59,0.0,2017-03-23,Desconhecido,barão homem de melo 1ª seção,GO
João Da Cruz,986.***.*** - 03,0.0,,"conjunto felipe cunha, 52
marçola
53662-849 pereira grande / ms",marçola,MS
Mariah Marques,439.***.*** - 78,-1.0,2017-12-25,"lago rezende, 31
são marcos
55723454 andrade do galho / pi",são marcos,PI
Maria Luísa Lima,856.***.*** - 98,0.0,2016-02-29,"estação joão lucas da luz
esplanada
01630-392 sales / ac",esplanada,AC
Sophia Da Mata,378.***.*** - 91,0.0,2009-06-29,"conjunto de vieira, 26
mirante
08847397 macedo / rr",mirante,RR
Maria Alice Moura,962.***.*** - 30,0.0,2016-03-16,Desconhecido,parque são josé,MG
Ana Luiza Câmara,207.***.*** - 01,0.0,2015-08-28,"morro câmara, 791
novo são lucas
85350063 souza / ba",novo são lucas,BA
Marcelo Sampaio,412.***.*** - 01,0.0,2014-08-09,"favela pinto, 8
vila união
66548982 melo de goiás / pi",vila união,PI
Luiz Henrique Lima,812.***.*** - 60,0.0,2017-06-06,"viaduto mendonça, 1
vila nova gameleira 3ª seção
61496-065 da luz / mt",vila nova gameleira 3ª seção,MT
Fernando Dias,256.***.*** - 05,-1.0,2006-09-21,"viaduto de abreu, 34
atila de paiva
07882-622 novais / se",atila de paiva,SE
Srta. Cecilia Cavalcanti,473.***.*** - 19,0.0,2018-01-11,"viaduto de leão, 92
fernão dias
81516997 das neves / ce",fernão dias,CE
Clarice Rios,185.***.*** - 00,-1.0,2011-12-12,Desconhecido,vila madre gertrudes 2ª seção,AC
José Miguel Silva,783.***.*** - 10,0.0,2016-08-14,Desconhecido,boa união 1ª seção,PR
Brayan Dias,982.***.*** - 30,-1.0,2005-10-11,"aeroporto de das neves
céu azul
67174241 garcia do oeste / ms",céu azul,MS
Emilly Borges,039.***.*** - 01,0.0,2019-01-02,"lagoa gomes, 84
pirineus
01732373 fogaça / df",pirineus,DF
Juliana Barros,849.***.*** - 75,0.0,,"viaduto sarah da cruz, 79
vila jardim alvorada
66634-991 sampaio / sc",vila jardim alvorada,SC
,832.***.*** - 64,0.0,2015-01-28,"viaduto de novais, 3
vila antena montanhês
21150632 nascimento / sc",vila antena montanhês,SC
,812.***.*** - 03,0.0,2017-01-07,"rodovia emanuella porto, 79
ouro minas
32250-826 brito / ro",ouro minas,RO
Dr. Gabriel Cardoso,268.***.*** - 71,0.0,2019-02-22,"viela de nogueira, 2
barreiro
46283-903 das neves / ac",barreiro,AC
Bianca Barbosa,708.***.*** - 94,0.0,2019-04-05,"trevo maya pimenta, 23
minaslandia
21667827 monteiro / ro",minaslandia,RO
Pietro Da Costa,013.***.*** - 17,-1.0,2009-10-11,Endereço inválido,Desconhecido,Desconhecido
Eduarda Monteiro,841.***.*** - 85,0.0,2014-06-13,"lagoa de peixoto, 93
nazare
63384-022 siqueira do amparo / rn",nazare,RN
Clarice Da Cunha,381.***.*** - 21,0.0,2005-01-03,Desconhecido,antonio ribeiro de abreu 1ª seção,SC
João Gabriel Da Mota,761.***.*** - 30,0.0,2013-04-24,"pátio olivia novais, 8
dom bosco
74822-311 nunes / al",dom bosco,AL
Bruna Pereira,295.***.*** - 05,0.0,2005-05-26,"passarela stella silva, 20
vila boa vista
03704-535 leão / ac",vila boa vista,AC
Marcos Vinicius Melo,687.***.*** - 19,0.0,2014-09-03,"travessa peixoto, 15
boa viagem
32192865 lima / am",boa viagem,AM
Emanuelly Nascimento,270.***.*** - 40,0.0,2018-06-27,"feira sales, 96
mantiqueira
21877292 martins do amparo / am",mantiqueira,AM
Liz Silva,841.***.*** - 98,0.0,2009-07-24,"morro gomes, 90
são benedito
27256-233 vargas de minas / sc",são benedito,SC
Antônio Marques,130.***.*** - 05,0.0,2018-01-31,"núcleo monteiro, 6
embaúbas
98500007 nascimento / se",embaúbas,SE
,325.***.*** - 06,-1.0,2012-11-27,"lagoa brito
camponesa 2ª seção
09304-605 moraes do norte / go",camponesa 2ª seção,GO
Valentina Nogueira,986.***.*** - 91,0.0,2019-02-27,"vale de fogaça, 33
fazendinha
57683741 andrade / rs",fazendinha,RS
Srta. Emanuelly Ferreira,350.***.*** - 33,0.0,2015-06-26,"estação vitor correia, 13
pongelupe
23076-625 pacheco / sc",pongelupe,SC
Pietro Brito,031.***.*** - 02,0.0,,"esplanada sales, 57
castelo
98809-382 da cunha / es",castelo,ES
Luna Cunha,598.***.*** - 11,-1.0,2017-11-24,"residencial arthur miguel martins, 40
comiteco
99461-217 moura / to",comiteco,TO
Pietra Rezende,716.***.*** - 80,-1.0,2014-11-24,"fazenda novaes, 69
santa tereza
47385-517 macedo de novaes / pe",santa tereza,PE
Bianca Rios,327.***.*** - 12,0.0,2017-04-26,Endereço inválido,Desconhecido,Desconhecido
Maria Flor Correia,532.***.*** - 06,0.0,2011-01-10,"feira de correia
aparecida
31994210 borges da serra / rr",aparecida,RR
Sra. Heloísa Fernandes,753.***.*** - 66,0.0,2017-08-14,"parque rhavi moraes
vila sesc
49359-750 mendonça verde / rn",vila sesc,RN
Paulo Farias,243.***.*** - 35,-1.0,2015-09-09,"favela fogaça, 1
estrela do oriente
22554-186 da cruz / rj",estrela do oriente,RJ
Sr. Yago Leão,523.***.*** - 70,0.0,2015-05-07,"esplanada fernandes, 965
túnel de ibirité
03131995 ramos / go",túnel de ibirité,GO
Francisco Gomes,492.***.*** - 03,0.0,2012-01-08,Endereço inválido,Desconhecido,Desconhecido
Júlia Barros,324.***.*** - 41,0.0,2010-01-17,"aeroporto laís fogaça, 85
corumbiara
68118-730 da mota do oeste / ce",corumbiara,CE
Manuella Montenegro,764.***.*** - 25,0.0,2017-01-09,"lagoa das neves
vila calafate
79020-170 aragão verde / ac",vila calafate,AC
Bianca Ramos,908.***.*** - 50,0.0,2013-03-15,"colônia de da cruz, 88
taquaril
71965883 sá da prata / al",taquaril,AL
Caio Sampaio,306.***.*** - 33,0.0,2007-02-01,"ladeira moreira, 5
vila ipiranga
43472-189 siqueira / go",vila ipiranga,GO
Theodoro Rios,521.***.*** - 07,0.0,,"vale de barros, 54
tupi a
52504496 santos de lima / mg",tupi a,MG
Dr. José Miguel Araújo,912.***.*** - 23,0.0,2009-11-05,"lagoa de sampaio, 60
ouro preto
47567-280 da rosa do oeste / mt",ouro preto,MT
,627.***.*** - 59,-1.0,2005-12-31,"rodovia gomes, 60
santa monica
78162-907 camargo / df",santa monica,DF
Henry Gabriel Pacheco,825.***.*** - 50,0.0,,Desconhecido,vila piratininga,RO
Maitê Da Rosa,603.***.*** - 35,0.0,2016-11-05,"via de ramos, 82
fazendinha
86233-774 cavalcanti / pa",fazendinha,PA
Nicole Monteiro,951.***.*** - 21,0.0,2007-05-06,Desconhecido,etelvina carneiro,AC
Sr. Breno Vasconcelos,316.***.*** - 28,0.0,2017-07-15,"loteamento de mendonça
vila real 1ª seção
56524-394 aparecida / sp",vila real 1ª seção,SP
Ryan Ferreira,829.***.*** - 12,0.0,2009-07-21,"recanto thales leão, 52
vila bandeirantes
71720407 abreu da serra / pr",vila bandeirantes,PR
José Albuquerque,067.***.*** - 70,0.0,2015-04-08,Desconhecido,vila santa monica 2ª seção,AP
Mariana Correia,194.***.*** - 49,0.0,2008-03-18,"pátio de fonseca
novo glória
31518736 nascimento do campo / pr",novo glória,PR
Thiago Cavalcanti,694.***.*** - 20,0.0,2015-06-10,"estrada de cavalcante, 2
cardoso
36160-302 camargo / ma",cardoso,MA
Bárbara Vargas,308.***.*** - 51,0.0,2008-02-03,"praia casa grande, 63
jardim alvorada
40872733 martins / sc",jardim alvorada,SC
Srta. Maria Cecília Nascimento,470.***.*** - 87,-1.0,2006-10-11,"parque alice moraes
vila mangueiras
53053-153 pereira alegre / rn",vila mangueiras,RN
Kaique Novais,837.***.*** - 40,0.0,2018-04-24,"rodovia fogaça, 99
atila de paiva
85358-058 sales alegre / go",atila de paiva,GO
Caroline Martins,371.***.*** - 80,-1.0,2014-11-26,"aeroporto nunes, 52
estrela do oriente
88311920 oliveira / ro",estrela do oriente,RO
Sr. Rhavi Da Conceição,461.***.*** - 89,0.0,2016-01-18,"loteamento andrade, 24
suzana
64327343 ribeiro grande / to",suzana,TO
Fernando Rodrigues,304.***.*** - 65,0.0,2019-06-26,"conjunto de moraes, 85
paquetá
07768336 brito / sp",paquetá,SP
Sabrina Rocha,839.***.*** - 12,0.0,,"área samuel machado, 38
nazare
15955-794 correia de fonseca / pa",nazare,PA
Enzo Gabriel Da Cruz,460.***.*** - 00,0.0,2017-08-28,Endereço inválido,Desconhecido,Desconhecido
Asafe Cunha,836.***.*** - 04,-1.0,2016-10-10,Endereço inválido,Desconhecido,Desconhecido
Yuri Câmara,534.***.*** - 00,0.0,2009-05-28,"área silva, 48
fazendinha
84547-463 correia do campo / pb",fazendinha,PB
,072.***.*** - 52,0.0,2010-06-12,Desconhecido,vitoria da conquista,ES
Bianca Da Cunha,614.***.*** - 66,0.0,2008-07-18,"vereda de almeida, 68
vila da ária
23272-874 vasconcelos / rn",vila da ária,RN
Pedro Miguel Albuquerque,975.***.*** - 77,0.0,2009-07-08,Desconhecido,vila nova gameleira 1ª seção,SE
Sr. Murilo Novaes,086.***.*** - 26,0.0,2009-07-25,"sítio silveira, 617
vila mantiqueira
46075-844 cunha / df",vila mantiqueira,DF
Diego Garcia,507.***.*** - 08,-1.0,2017-11-29,Endereço inválido,Desconhecido,Desconhecido
Davi Lucas Castro,056.***.*** - 62,0.0,2014-01-19,"parque davi miguel barbosa, 3
salgado filho
17639-867 lopes / ac",salgado filho,AC
Matheus Dias,179.***.*** - 96,-1.0,2006-12-23,"avenida mirella nogueira, 55
são josé
80095-483 das neves / rn",são josé,RN
Eloah Silveira,109.***.*** - 16,0.0,2012-01-20,"pátio de sá
maria tereza
08820588 macedo de barbosa / rj",maria tereza,RJ
Sophia Santos,146.***.*** - 57,0.0,2011-08-26,"jardim anna liz sampaio, 96
taquaril
66044222 rodrigues da serra / df",taquaril,DF
Sr. Henry Gabriel Da Mata,087.***.*** - 01,-1.0,2017-11-10,Endereço inválido,Desconhecido,Desconhecido
Sra. Joana Teixeira,375.***.*** - 56,0.0,2005-08-05,"lago melo, 65
são jorge 2ª seção
40773576 da mata de montenegro / pe",são jorge 2ª seção,PE
Vicente Garcia,026.***.*** - 16,0.0,,"fazenda ryan siqueira, 3
serrano
74864-518 cardoso / al",serrano,AL
Dr. Samuel Porto,978.***.*** - 10,0.0,2014-03-29,"morro de sousa, 93
marçola
21898613 correia do sul / al",marçola,AL
Clara Da Mata,326.***.*** - 51,0.0,2017-05-20,"residencial das neves, 83
graça
54773786 porto da mata / mg",graça,MG
Ana Júlia Peixoto,850.***.*** - 29,-1.0,2007-12-25,Desconhecido,aguas claras,DF
Lunna Mendes,701.***.*** - 85,0.0,2013-08-19,"estação de viana, 607
ápia
87546193 silveira da prata / rr",ápia,RR
Pietra Almeida,182.***.*** - 55,0.0,2008-06-04,"rua de casa grande, 8
vila santa rosa
58799-298 da paz / sp",vila santa rosa,SP
Sr. Noah Vasconcelos,210.***.*** - 32,0.0,,"vale abreu, 6
santa rosa
39799161 sousa da prata / go",santa rosa,GO
Anna Liz Pires,195.***.*** - 99,0.0,2009-01-04,"distrito de cavalcante, 11
zilah sposito
53901253 cavalcanti / rs",zilah sposito,RS
Otto Pimenta,715.***.*** - 64,0.0,2010-03-25,"sítio larissa araújo, 78
santa rita
15606608 rios de goiás / se",santa rita,SE
Carolina Duarte,218.***.*** - 41,0.0,2017-04-30,"aeroporto sá, 8
lorena
09057-116 vargas / al",lorena,AL
,328.***.*** - 12,0.0,2015-03-16,"área porto, 37
trevo
04773-640 cavalcante do sul / pa",trevo,PA
Hellena Nogueira,712.***.*** - 25,0.0,2010-02-27,"pátio leão, 1
belvedere
95142445 da cunha do amparo / ms",belvedere,MS
Manuella Campos,204.***.*** - 13,0.0,2015-02-04,"praia de borges, 880
boa união 2ª seção
92542-944 sousa / rs",boa união 2ª seção,RS
Ana Beatriz Marques,071.***.*** - 23,0.0,2010-04-10,"pátio pinto, 18
manacas
55118-352 barros dos dourados / mg",manacas,MG
Augusto Ferreira,851.***.*** - 48,0.0,2005-03-28,"loteamento sampaio, 15
capitão eduardo
92345334 teixeira do galho / to",capitão eduardo,TO
Luiz Otávio Dias,182.***.*** - 94,0.0,2017-07-29,Endereço inválido,Desconhecido,Desconhecido
Théo Oliveira,816.***.*** - 55,0.0,2017-12-06,"residencial rodrigues, 328
santa rosa
88414-551 souza / ro",santa rosa,RO
Dr. Rael Cavalcante,048.***.*** - 47,0.0,2005-01-17,"esplanada maria laura da rosa
coração de jesus
15277170 correia / al",coração de jesus,AL
Rhavi Aragão,897.***.*** - 22,0.0,2012-04-05,"colônia de cavalcante, 53
vila fumec
11418-185 oliveira / al",vila fumec,AL
Eloah Rezende,120.***.*** - 15,0.0,2011-06-12,Endereço inválido,Desconhecido,Desconhecido
